item,price,description
Limited Time Cinnabon Dessert  Biscuits,58.53,Uma explosão de sabores em cada mordida.
Limited Time ORIGINAL RECIPE CHICKEN Chicken Breast,45.72,Sabores autênticos que aquecem o coração.
Limited Time ORIGINAL RECIPE CHICKEN Chicken Limited Time Drumstick,30.51,Sabores autênticos que aquecem o coração.
Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,48.5,Perfeito para quem gosta de sabores picantes.
Limited Time ORIGINAL RECIPE CHICKEN Chicken Whole Wing,35.85,"Leve e delicioso, perfeito para compartilhar."
Chicken Breast,43.68,A escolha ideal para ocasiões especiais.
Chicken Drumstick,38.71,Uma explosão de sabores em cada mordida.
Chicken Thigh,42.78,Uma bebida gelada e revigorante.
Chicken Whole Wing,46.97,Uma explosão de sabores em um só prato.
Breast,43.29,Incrivelmente refrescante e saboroso.
Drumstick,50.51,Uma explosão de sabores em cada mordida.
Thigh,46.14,Sabor autêntico e suculento.
Whole Wing,51.99,Perfeito para quem gosta de sabores picantes.
Breast,52.42,Para os amantes de comida caseira.
Drumstick,55.29,A escolha saudável para um dia agitado.
Thigh,58.43,Para os amantes de bebidas geladas.
Whole Wing,37.92,Incrivelmente saboroso e gratificante.
EXTRA CRISPY  Chicken Breast,46.29,Molhos deliciosos para realçar seus pratos.
EXTRA CRISPY  Chicken Drumstick,34.12,Para os amantes de bebidas geladas.
EXTRA CRISPY  Chicken Thigh,50.88,Sabor autêntico com ingredientes frescos.
EXTRA CRISPY  Chicken Whole Wing,53.65,Sabores autênticos que aquecem o coração.
KENTUCKY GRILLED CHICKEN Breast,49.71,Sabores tradicionais que nunca desapontam.
KENTUCKY GRILLED CHICKEN Drumstick,52.09,Sabor exótico que vai te surpreender.
KENTUCKY GRILLED CHICKEN Thigh,43.95,Sabor autêntico com ingredientes frescos.
KENTUCKY GRILLED CHICKEN Whole Wing,36.95,"Leve e delicioso, perfeito para compartilhar."
SPICY CRISPY CHICKEN Breast,50.95,Sabor caseiro que aquece a alma.
SPICY CRISPY CHICKEN Drumstick,50.82,Uma experiência refrescante e doce.
SPICY CRISPY CHICKEN Thigh,40.51,Sabor autêntico e suculento.
SPICY CRISPY CHICKEN Whole Wing,49.07,Sabor autêntico e suculento.
EXTRA CRISPY  Tender (each),31.68,Sinta o sabor do verão a cada gole.
EXTRA CRISPY  Tender (each),49.42,Sabor autêntico e suculento.
KENTUCKY FRIED WINGS Buffalo,40.74,Sinta o sabor do verão a cada gole.
KENTUCKY FRIED WINGS Honey BBQ,30.28,Sinta o sabor da tradição em cada mordida.
KENTUCKY FRIED WINGS Nashville Hot,32.77,Sabor caseiro que aquece a alma.
KENTUCKY FRIED WINGS Unsauced,31.4,Sabor caseiro que aquece a alma.
POPCORN NUGGETS Kids,41.58,A escolha saudável para um dia agitado.
POPCORN NUGGETS Large,44.06,Incrivelmente saboroso e gratificante.
BBQ Baked Beans,48.78,Uma experiência refrescante e doce.
Biscuit,54.09,Um clássico que nunca sai de moda.
Coleslaw,45.77,Uma opção deliciosa e reconfortante.
Corn on the Cob,54.74,Uma opção saudável e equilibrada.
Green Beans,38.9,Sabores autênticos que aquecem o coração.
KFC® Cornbread Muffin,37.11,A escolha saudável para um dia agitado.
Macaroni & Cheese,39.46,Sabor autêntico e suculento.
Macaroni Salad,30.15,Sabor autêntico e suculento.
Mashed Potatoes,30.39,Uma opção deliciosa e acolhedora.
Mashed Potatoes With Gravy,37.77,Uma experiência refrescante e doce.
Potato Salad,41.29,Uma combinação perfeita de sabores e texturas.
Secret Recipe Fries,38.6,Uma explosão de sabores em cada mordida.
Sweet Kernel Corn,46.64,Uma opção refrescante e saudável.
BBQ Baked Beans (Family),45.19,Uma explosão de sabores em cada mordida.
Coleslaw (Family),49.56,Sabores autênticos que aquecem o coração.
Corn on the Cob (Family),44.9,Sabor caseiro que aquece a alma.
Green Beans (Family),56.2,Sabores tradicionais que nunca desapontam.
Macaroni & Cheese (Family),51.14,Sabores autênticos que aquecem o coração.
Macaroni Salad (Family),45.79,Uma explosão de sabores em cada mordida.
Mashed Potatoes (Family),59.4,Sinta o sabor do verão a cada gole.
Mashed Potatoes With Gravy (Family),39.03,Sabor autêntico e suculento.
Potato Salad (Family),34.3,A escolha ideal para ocasiões especiais.
Secret Recipe Fries (Family),32.13,Sabor caseiro que aquece a alma.
Sweet Kernel Corn (Family),34.37,Uma deliciosa refeição para toda a família.
Chicken Littles,43.2,Sinta o sabor do verão a cada gole.
Chicken Littles – Buffalo,59.43,Uma opção saudável e equilibrada.
Chicken Littles – Honey BBQ,31.72,A escolha ideal para ocasiões especiais.
Chicken Littles – Nashville Hot,34.45,Molhos deliciosos para realçar seus pratos.
Classic Chicken Sandwich,49.09,Uma experiência refrescante e doce.
Crispy Colonel’s Sandwich,32.79,"Leve e delicioso, ótimo para compartilhar."
Crispy Colonel’s Sandwich – Buffalo,45.85,Para os amantes de bebidas geladas.
Crispy Colonel’s Sandwich – Honey BBQ,32.74,Uma combinação perfeita de sabores e texturas.
Crispy Colonel’s Sandwich – Nashville Hot,40.38,Uma combinação perfeita de sabores e texturas.
Crispy Twister®,43.07,Sabor autêntico e suculento.
Honey BBQ Sandwich,54.62,"Leve e delicioso, perfeito para compartilhar."
Spicy Chicken Sandwich,42.85,Sabor caseiro que aquece a alma.
Chicken Pot Pie,30.13,"Leve e delicioso, perfeito para compartilhar."
KFC® Famous Bowl,31.8,Para os amantes de bebidas geladas.
KFC® Famous Bowl – Snack Size,32.2,Sabor exótico que vai te surpreender.
Caesar Side Salad,50.15,Uma explosão de sabores em cada mordida.
House Side Salad,51.9,Uma opção saudável e equilibrada.
Heinz Buttermilk Dressing,34.69,A escolha saudável para um dia agitado.
Hidden Valley The Original Ranch Fat Free Dressing,33.09,"Leve e delicioso, perfeito para compartilhar."
KFC® Creamy Parmesan Caesar Dressing,40.42,Uma deliciosa refeição para toda a família.
Marzetti Light Italian Dressing,43.55,A escolha perfeita para um dia especial.
Parmesan Garlic Croutons,34.03,Sabor caseiro que aquece a alma.
Apple Turnover,41.31,Uma experiência refrescante e doce.
Café Valley Chocolate Chip Cake (1 Slice),56.12,Incrivelmente saboroso e gratificante.
Café Valley Lemon Cake (1 Slice),37.18,Sinta o sabor do verão a cada gole.
Café Valley Mini Chocolate Chip Cake,57.98,Para os amantes de bebidas geladas.
Café Valley Mini Lemon Cake,52.07,Sabor caseiro que aquece a alma.
Chocolate Chip Cookie,37.44,Perfeito para quem gosta de sabores picantes.
Oreo Cookies and Crème Pie,35.97,Uma combinação perfeita de sabores e texturas.
Reese’s Peanut Butter Pie,54.15,Uma experiência refrescante e doce.
BBQ – Dipping Sauce Cup,58.21,Uma bebida gelada e revigorante.
Colonel’s Buttery Spread,49.06,Incrivelmente saboroso e gratificante.
Grape Jelly Packet,55.07,"Leve e delicioso, perfeito para compartilhar."
Honey Mustard – Dipping Sauce Cup,49.96,Uma combinação perfeita de sabores e texturas.
Honey Sauce Packet,37.21,"Leve e delicioso, ótimo para compartilhar."
Ketchup,38.16,Molhos deliciosos para realçar seus pratos.
KFC Sauce – Dipping Sauce Cup,53.48,Uma experiência refrescante e doce.
Lemon Juice Packet,37.37,Molhos deliciosos para realçar seus pratos.
Ranch – Dipping Sauce Cup,58.76,"Leve e delicioso, perfeito para compartilhar."
Strawberry Jam Packet,38.34,Sabor autêntico e suculento.
Capri Sun® 100% Juice Fruit Punch,47.45,A escolha ideal para ocasiões especiais.
Chocolate Milk 1%,40.86,Perfeito para quem gosta de sabores picantes.
Milk 1%,55.57,Uma opção deliciosa e acolhedora.
Musselman’s™ Applesauce,42.41,Uma combinação perfeita de sabores e texturas.
7UP® (12 fl oz),31.34,Uma deliciosa refeição para toda a família.
7UP® (16 fl oz),49.14,Sinta o sabor do verão a cada gole.
7UP® (20 fl oz),56.44,Molhos deliciosos para realçar seus pratos.
7UP® (30 fl oz),52.93,Uma bebida gelada e revigorante.
Classic Lemonade (1/2 Gallon),38.56,Sinta o sabor do verão a cada gole.
Classic Lemonade (20 fl oz),41.98,A escolha ideal para ocasiões especiais.
Code Red Mountain Dew® (12 fl oz),47.0,Uma combinação perfeita de sabores e texturas.
Code Red Mountain Dew® (16 fl oz),30.53,Sabores autênticos que aquecem o coração.
Code Red Mountain Dew® (20 fl oz),36.55,Sabor exótico que vai te surpreender.
Code Red Mountain Dew® (30 fl oz),58.61,Sabor autêntico e suculento.
Diet Dr Pepper® (12 fl oz),41.32,Molhos deliciosos para realçar seus pratos.
Diet Dr Pepper® (16 fl oz),56.88,Sabores autênticos que aquecem o coração.
Diet Dr Pepper® (20 fl oz),32.09,Sabores únicos que vão surpreender você.
Diet Dr Pepper® (30 fl oz),54.92,"Leve e delicioso, perfeito para compartilhar."
Diet Mist Twst® (12 fl oz),42.13,"Leve e delicioso, perfeito para compartilhar."
Diet Mist Twst® (16 fl oz),55.36,Uma deliciosa refeição para toda a família.
Diet Mist Twst® (20 fl oz),46.62,Molhos deliciosos para realçar seus pratos.
Diet Mist Twst® (30 fl oz),47.31,Uma combinação perfeita de sabores e texturas.
Diet Mountain Dew® (12 fl oz),50.44,Para os amantes de bebidas geladas.
