item,price,description
Detroit Double Cheesy Pizza Slice,57.06,Sinta o sabor do verão a cada gole.
Detroit Double Pepperoni Pizza Slice,44.86,Uma opção deliciosa e satisfatória.
Detroit Meaty Pizza Slice,54.53,Para os apaixonados por café e lattes.
Detroit Supremo Pizza Slice,36.76,Molhos deliciosos para realçar seus pratos.
Pan Pizza Slices Backyard BBQ Chicken Personal Pan,37.5,Sabor exótico que você vai adorar.
Pan Pizza Slices Backyard BBQ Chicken Medium,38.87,Molhos deliciosos para realçar seus pratos.
Pan Pizza Slices Backyard BBQ Chicken Large,38.78,Incrivelmente saboroso e gratificante.
Pan Pizza Slices Beyond Meat® Pepperoni Medium,39.31,Uma explosão de sabores em cada mordida.
Pan Pizza Slices Beyond Meat® Pepperoni Large,39.11,"Leve e delicioso, perfeito para compartilhar."
Pan Pizza Slices Buffalo Chicken Personal Pan,46.93,A escolha perfeita para um dia especial.
Pan Pizza Slices Buffalo Chicken Medium,34.27,Uma explosão de sabores em cada mordida.
Pan Pizza Slices Buffalo Chicken Large,30.27,O acompanhamento perfeito para qualquer refeição.
Pan Pizza Slices Cheese Personal Pan,42.66,"Leve e delicioso, ótimo para compartilhar."
Pan Pizza Slices Cheese Medium,55.95,Incrivelmente saboroso e gratificante.
Pan Pizza Slices Cheese Large,36.83,Para os amantes de café e cappuccinos.
Pan Pizza Slices Chicken Bacon Parmesan Personal Pan,35.06,Uma opção saudável e equilibrada.
Pan Pizza Slices Chicken Bacon Parmesan Medium,38.91,Para os amantes de bebidas geladas.
Pan Pizza Slices Chicken Bacon Parmesan Large,57.25,"Leve e delicioso, ótimo para compartilhar."
Pan Pizza Slices Hawaiian Chicken Personal Pan,37.76,Sabor exótico que vai te surpreender.
Pan Pizza Slices Hawaiian Chicken Medium,37.43,Sabor exótico que vai te surpreender.
Pan Pizza Slices Hawaiian Chicken Large,40.86,Sabor caseiro que aquece a alma.
Pan Pizza Slices Meat Lover’s® Personal Pan,34.02,Um clássico que nunca sai de moda.
Pan Pizza Slices Meat Lover’s® Medium,53.44,Uma opção deliciosa e acolhedora.
Pan Pizza Slices Meat Lover’s® Large,50.11,Uma combinação perfeita de sabores e texturas.
Pan Pizza Slices Pepperoni Personal Pan,40.7,Sabores autênticos que aquecem o coração.
Pan Pizza Slices Pepperoni Medium,31.21,Sabor exótico que você vai adorar.
Pan Pizza Slices Pepperoni Large,40.77,Sabor autêntico com ingredientes frescos.
Pan Pizza Slices Pepperoni Lover’s® Personal Pan,49.27,Molhos deliciosos para realçar seus pratos.
Pan Pizza Slices Pepperoni Lover’s® Medium,33.46,Deliciosos molhos para realçar seu prato.
Pan Pizza Slices Pepperoni Lover’s® Large,52.92,Sinta o sabor do verão a cada gole.
Pan Pizza Slices Supreme Personal Pan,32.7,Para os amantes de café e cappuccinos.
Pan Pizza Slices Supreme Medium,46.9,Sabor caseiro que aquece a alma.
Pan Pizza Slices Supreme Large,30.06,Uma escolha saudável e deliciosa.
Pan Pizza Slices Ultimate Cheese Lover’s® Personal Pan,58.71,Sabor autêntico e suculento.
Pan Pizza Slices Ultimate Cheese Lover’s® Medium,40.3,Para os amantes de comida caseira.
Pan Pizza Slices Ultimate Cheese Lover’s® Large,34.06,Uma explosão de sabores em cada mordida.
Pan Pizza Slices Veggie Lover’s® Personal Pan,56.45,Uma opção deliciosa e acolhedora.
Pan Pizza Slices Veggie Lover’s® Medium,41.36,Sabores tradicionais que nunca desapontam.
Pan Pizza Slices Veggie Lover’s® Large,33.08,Para os amantes de comida caseira.
Hand Tossed Slices Backyard BBQ Chicken Small,39.45,Uma opção saudável e equilibrada.
Hand Tossed Slices Backyard BBQ Chicken Medium,40.07,Sabor autêntico e suculento.
Hand Tossed Slices Backyard BBQ Chicken Large,48.89,Sinta o sabor do verão a cada gole.
Hand Tossed Slices Beyond Meat® Pepperoni Medium,45.35,Sinta o sabor do verão a cada gole.
Hand Tossed Slices Beyond Meat® Pepperoni Large,32.67,Uma combinação única de sabores e texturas.
Hand Tossed Slices  Buffalo Chicken Small,55.86,Uma opção deliciosa e acolhedora.
Hand Tossed Slices  Buffalo Chicken Medium,30.96,Perfeito para quem gosta de sabores picantes.
Hand Tossed Slices  Buffalo Chicken Large,40.59,Uma explosão de sabores em cada mordida.
Hand Tossed Slices Cheese Small,42.02,"Leve e delicioso, perfeito para compartilhar."
Hand Tossed Slices Cheese Medium,44.47,A escolha saudável para um dia agitado.
Hand Tossed Slices Cheese Large,49.49,Uma bebida gelada e revigorante.
Hand Tossed Slices Chicken Bacon Parmesan Small,55.65,Uma combinação perfeita de sabores e texturas.
Hand Tossed Slices Chicken Bacon Parmesan Medium,51.18,Sabor caseiro que aquece a alma.
Hand Tossed Slices Chicken Bacon Parmesan Large,52.22,Uma bebida gelada e revigorante.
Hand Tossed Slices Hawaiian Chicken Small,38.78,Sabor exótico que vai te surpreender.
Hand Tossed Slices Hawaiian Chicken Medium,57.11,Sabor autêntico e suculento.
Hand Tossed Slices Hawaiian Chicken Large,41.3,Incrivelmente saboroso e satisfatório.
Hand Tossed Slices Meat Lover’s® Small,47.88,Sabores tradicionais que nunca desapontam.
Hand Tossed Slices Meat Lover’s® Medium,32.2,A escolha ideal para ocasiões especiais.
Hand Tossed Slices Meat Lover’s® Large,59.8,Sabor caseiro que aquece a alma.
Hand Tossed Slices Pepperoni Small,35.13,Uma combinação perfeita de sabores e texturas.
Hand Tossed Slices Pepperoni Medium,41.54,Sabores autênticos que aquecem o coração.
Hand Tossed Slices Pepperoni Large,41.06,Incrivelmente saboroso e gratificante.
